task_id,merchant_id,task_type,priority,status,deadline,description
T001,M001,商品上架审核,high,pending,2026-05-15,新品防晒霜系列完成审核上架
T002,M001,库存补货提醒,high,pending,2026-05-14,洁面乳库存低于100件需紧急补货
T003,M001,差评处理,critical,overdue,2026-05-10,投影仪累计3条差评需48小时内回复
T004,M002,活动报名确认,high,completed,2026-05-12,618大促会场报名已提交待审核
T005,M002,价格监控调整,medium,pending,2026-05-16,竞品面膜降价15%需评估是否跟价
T006,M002,商品详情页优化,medium,in_progress,2026-05-18,精华液详情页转化率低于类目均值需优化
T007,M003,库存盘点,high,pending,2026-05-13,月度库存盘点确认仓库实存数据
T008,M003,新品推广计划,medium,pending,2026-05-20,夏季新品小风扇制定推广方案
T009,M003,发票处理,low,pending,2026-05-22,上月企业客户发票统一开具
T010,M001,退款纠纷处理,critical,overdue,2026-05-08,高价值订单退款纠纷需提供凭证
T011,M002,直播排期确认,high,pending,2026-05-15,618直播场次和商品排期确认
T012,M003,客服回复超时,critical,pending,2026-05-14,昨日客服平均响应时间超180秒需整改
T013,M001,竞品监控报告,medium,pending,2026-05-17,本周竞品价格和活动动态分析
T014,M002,用户画像分析,medium,in_progress,2026-05-19,基于近30天购买数据分析核心用户画像
T015,M003,物流时效检查,low,pending,2026-05-21,抽查上月发货时效是否达标
T016,M001,商品标题优化,medium,pending,2026-05-18,面膜商品标题SEO关键词优化
